FID_,ALIVE,READER1,READER2,NOTES,DEAD,READERTIME,DRY,DATE,PIT,GPSTIME,TIME,PITNUM,Easting,Northing
,0,1,0,085432 d,0,0,0,,0,1447,0, ,568718.216621999980000,4100706.255479999800000
,0,0,1,684404 d,0,0,0,,0,1447,0, ,568714.339385000060000,4100709.182480000000000
,0,1,0,084036 d,0,0,0,,0,1448,0, ,568715.198530000050000,4100712.887610000100000
,0,0,1,538572 d,0,0,0,,0,1440,0, ,568716.503778000010000,4100716.411450000000000
,0,0,1,532677 d,0,0,0,,0,1450,0, ,568721.674235000040000,4100718.487449999900000
,0,0,1,587465 d,0,0,0,,0,1450,0, ,568716.984440000030000,4100711.977580000200000
,0,1,0,690754 d,0,0,0,,0,1452,0, ,568717.289852999970000,4100710.870629999800000
,0,1,0,646587 d,0,0,0,,0,1452,0, ,568723.072650999990000,4100710.547809999900000
,0,0,1,646102 d,0,0,0,,0,1453,0, ,568720.872195999950000,4100707.756320000200000
,0,1,0,094717 d,0,0,0,,0,1456,0, ,568726.817639000020000,4100723.891559999900000
,0,1,0,690572,0,0,0,,0,1457,0, ,568733.028490000060000,4100725.606220000000000
,0,1,0,540017 d,0,0,0,,0,1457,0, ,568733.755959999980000,4100727.276300000000000
,0,0,1,685537 d,0,0,0,,0,1457,0, ,568728.496840000040000,4100736.109089999900000
,0,0,1,541656 d,0,0,0,,0,1459,0, ,568725.452278999960000,4100727.763520000000000
,0,1,0,539423 d dry,0,0,0,,0,1500,0, ,568730.724339999960000,4100735.572470000000000
,0,0,1,533627 d,0,0,0,,0,1501,0, ,568725.842777000040000,4100734.423349999800000
,0,1,0,084093 d,0,0,0,,0,1501,0, ,568727.333784000020000,4100733.326030000100000
