up
Upload #22
Reader: Backpack reader 2  Site: AA
--------- upload 22 start ---------
E 2015-11-02 15:04:08.64 upload 21 complete
E 2015-11-16 07:48:42.53 supply power ok 18.9V
E 2015-11-16 07:48:42.53 database file opened
E 2015-11-16 07:48:42.53 starting reader after power up
D 2015-11-16 11:35:01.83 00:00:01.01 HA      900_226000081065   11    14
D 2015-11-16 11:35:02.05 00:00:02.60 HA      900_226000081065    7     1
D 2015-11-16 11:35:04.85 23:59:59.41 HA      900_226000081065    5     1
D 2015-11-16 11:35:04.46 00:00:00.10 HA      900_226000081065    2     1
D 2015-11-16 11:35:04.77 00:00:00.10 HA      900_226000081065    2     1
D 2015-11-16 11:35:04.28 00:00:02.30 HA      900_226000081065    4     3
D 2015-11-16 11:39:05.29 00:00:00.31 HA      900_226000539911    4  2366
D 2015-11-16 11:39:05.80 00:00:00.00 HA      900_226000539911    1     1
D 2015-11-16 11:39:06.41 00:00:00.00 HA      900_226000539911    1     5
D 2015-11-16 11:39:06.72 00:00:00.00 HA      900_226000539911    1     2
D 2015-11-16 11:39:10.69 00:00:01.23 HA      900_226000539911   13    38
D 2015-11-16 11:39:30.12 00:00:01.01 HA      900_226000539911   11   178
D 2015-11-16 11:39:35.31 00:00:00.31 HA      900_226000539911    4    40
D 2015-11-16 11:41:12.89 00:00:00.98 HA      900_226000540141   11   959
D 2015-11-16 11:41:15.78 23:59:59.72 HA      900_226000540141    8     8
D 2015-11-16 11:41:17.51 00:00:01.42 HA      900_226000540141   15    19
